old_locus_tag	level1	level2	level3	level4	level5	level6
SYNPCC7002_A0512	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:syp00270]		
SYNPCC7002_A0907	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:syp00270]		
SYNPCC7002_A2093	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:syp00270]		
SYNPCC7002_A1246	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00270 Cysteine and methionine metabolism [PATH:syp00270]		
SYNPCC7002_A1863	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:syp00280]		
SYNPCC7002_A1126	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:syp00280]		
SYNPCC7002_A1558	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:syp00280]		
SYNPCC7002_A2814	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00280 Valine, leucine and isoleucine degradation [PATH:syp00280]		
SYNPCC7002_A1616	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:syp00290]		
SYNPCC7002_A1353	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:syp00290]		
SYNPCC7002_A0456	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:syp00290]		
SYNPCC7002_A2354	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:syp00290]		
SYNPCC7002_A2770	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:syp00290]		
SYNPCC7002_A2797	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:syp00290]		
SYNPCC7002_A2704	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:syp00290]		
SYNPCC7002_A1278	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:syp00290]		
SYNPCC7002_A0652	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:syp00290]		
SYNPCC7002_A1863	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:syp00290]		
SYNPCC7002_A0235	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:syp00290]		
SYNPCC7002_A1356	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:syp00290]		
SYNPCC7002_A0730	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis [PATH:syp00290]		
SYNPCC7002_A2131	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:syp00300]		
SYNPCC7002_A1267	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:syp00300]		
SYNPCC7002_A1275	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:syp00300]		
SYNPCC7002_A1274	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:syp00300]		
SYNPCC7002_A0881	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:syp00300]		
SYNPCC7002_A0326	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:syp00300]		
SYNPCC7002_A1642	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:syp00300]		
SYNPCC7002_A1203	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:syp00300]		
SYNPCC7002_A2188	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:syp00300]		
SYNPCC7002_A0097	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:syp00300]		
SYNPCC7002_A0121	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:syp00300]		
SYNPCC7002_A2693	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00300 Lysine biosynthesis [PATH:syp00300]		
SYNPCC7002_A1126	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00310 Lysine degradation [PATH:syp00310]		
SYNPCC7002_A2771	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00310 Lysine degradation [PATH:syp00310]		
SYNPCC7002_A0674	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A2806	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A2487	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A0271	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A0193	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A2437	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A1319	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A1545	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A0246	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A1630	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A2488	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A2505	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A0773	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A0512	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A1130	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A2516	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A2102	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A0326	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00220 Arginine biosynthesis [PATH:syp00220]		
SYNPCC7002_A1808	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:syp00330]		
SYNPCC7002_A1751	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:syp00330]		
SYNPCC7002_A1109	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:syp00330]		
SYNPCC7002_A2283	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:syp00330]		
SYNPCC7002_A0430	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:syp00330]		
SYNPCC7002_A0271	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:syp00330]		
SYNPCC7002_A1919	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:syp00330]		
SYNPCC7002_A1071	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:syp00330]		
SYNPCC7002_A1782	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:syp00330]		
SYNPCC7002_A0583	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:syp00330]		
SYNPCC7002_A2614	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:syp00330]		
SYNPCC7002_A0899	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:syp00330]		
SYNPCC7002_A0512	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00330 Arginine and proline metabolism [PATH:syp00330]		
SYNPCC7002_A0620	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:syp00340]		
SYNPCC7002_A0621	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:syp00340]		
SYNPCC7002_A0488	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:syp00340]		
SYNPCC7002_A1890	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:syp00340]		
SYNPCC7002_A2529	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:syp00340]		
SYNPCC7002_A1636	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:syp00340]		
SYNPCC7002_A1985	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:syp00340]		
SYNPCC7002_A0511	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:syp00340]		
SYNPCC7002_A2049	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:syp00340]		
SYNPCC7002_G0154	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00340 Histidine metabolism [PATH:syp00340]		
SYNPCC7002_A0512	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:syp00350]		
SYNPCC7002_A0511	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:syp00350]		
SYNPCC7002_A2710	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:syp00350]		
SYNPCC7002_A0868	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:syp00350]		
SYNPCC7002_A2771	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:syp00350]		
SYNPCC7002_A0567	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00350 Tyrosine metabolism [PATH:syp00350]		
SYNPCC7002_A0512	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00360 Phenylalanine metabolism [PATH:syp00360]		
SYNPCC7002_A0511	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00360 Phenylalanine metabolism [PATH:syp00360]		
SYNPCC7002_A2710	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00360 Phenylalanine metabolism [PATH:syp00360]		
SYNPCC7002_A0567	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00360 Phenylalanine metabolism [PATH:syp00360]		
SYNPCC7002_A2422	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00360 Phenylalanine metabolism [PATH:syp00360]		
SYNPCC7002_A1126	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00380 Tryptophan metabolism [PATH:syp00380]		
SYNPCC7002_A0664	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00380 Tryptophan metabolism [PATH:syp00380]		
SYNPCC7002_D0007	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00380 Tryptophan metabolism [PATH:syp00380]		
SYNPCC7002_D0008	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00380 Tryptophan metabolism [PATH:syp00380]		
SYNPCC7002_A2422	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00380 Tryptophan metabolism [PATH:syp00380]		
SYNPCC7002_A1825	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A1146	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A2527	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A2517	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A0169	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A2147	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A0681	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A1762	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A2203	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A2854	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A1348	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A0562	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A0296	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A2537	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A0677	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A2404	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A0512	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A0511	KEGG Orthology (KO)	09100 Metabolism	09105 Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:syp00400]		
SYNPCC7002_A2530	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00410 beta-Alanine metabolism [PATH:syp00410]		
SYNPCC7002_A0343	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00410 beta-Alanine metabolism [PATH:syp00410]		
SYNPCC7002_G0134	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00430 Taurine and hypotaurine metabolism [PATH:syp00430]		
SYNPCC7002_A2774	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00430 Taurine and hypotaurine metabolism [PATH:syp00430]		
SYNPCC7002_A2466	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00450 Selenocompound metabolism [PATH:syp00450]		
SYNPCC7002_A1811	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00450 Selenocompound metabolism [PATH:syp00450]		
SYNPCC7002_A0792	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00450 Selenocompound metabolism [PATH:syp00450]		
SYNPCC7002_A1344	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00450 Selenocompound metabolism [PATH:syp00450]		
SYNPCC7002_A2744	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00450 Selenocompound metabolism [PATH:syp00450]		
SYNPCC7002_A2706	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00450 Selenocompound metabolism [PATH:syp00450]		
SYNPCC7002_A0075	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00460 Cyanoamino acid metabolism [PATH:syp00460]		
SYNPCC7002_A0664	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00460 Cyanoamino acid metabolism [PATH:syp00460]		
SYNPCC7002_G0134	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00460 Cyanoamino acid metabolism [PATH:syp00460]		
SYNPCC7002_A1090	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00460 Cyanoamino acid metabolism [PATH:syp00460]		
SYNPCC7002_A0824	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00460 Cyanoamino acid metabolism [PATH:syp00460]		
SYNPCC7002_A2430	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00460 Cyanoamino acid metabolism [PATH:syp00460]		
SYNPCC7002_A2489	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00470 D-Amino acid metabolism [PATH:syp00470]		
SYNPCC7002_A1584	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00470 D-Amino acid metabolism [PATH:syp00470]		
SYNPCC7002_A0638	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00470 D-Amino acid metabolism [PATH:syp00470]		
SYNPCC7002_A1545	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00470 D-Amino acid metabolism [PATH:syp00470]		
SYNPCC7002_A0579	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00470 D-Amino acid metabolism [PATH:syp00470]		
SYNPCC7002_A0850	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00470 D-Amino acid metabolism [PATH:syp00470]		
SYNPCC7002_A1642	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00470 D-Amino acid metabolism [PATH:syp00470]		
SYNPCC7002_A0097	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00470 D-Amino acid metabolism [PATH:syp00470]		
SYNPCC7002_G0134	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00480 Glutathione metabolism [PATH:syp00480]		
SYNPCC7002_A2513	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00480 Glutathione metabolism [PATH:syp00480]		
SYNPCC7002_A1147	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00480 Glutathione metabolism [PATH:syp00480]		
SYNPCC7002_A2460	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00480 Glutathione metabolism [PATH:syp00480]		
SYNPCC7002_A0435	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00480 Glutathione metabolism [PATH:syp00480]		
SYNPCC7002_A2737	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00480 Glutathione metabolism [PATH:syp00480]		
SYNPCC7002_A2778	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00480 Glutathione metabolism [PATH:syp00480]		
SYNPCC7002_A0118	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00480 Glutathione metabolism [PATH:syp00480]		
SYNPCC7002_A0838	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00480 Glutathione metabolism [PATH:syp00480]		
SYNPCC7002_A0221	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00480 Glutathione metabolism [PATH:syp00480]		
SYNPCC7002_A1459	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00480 Glutathione metabolism [PATH:syp00480]		
SYNPCC7002_A0117	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00480 Glutathione metabolism [PATH:syp00480]		
SYNPCC7002_A2283	KEGG Orthology (KO)	09100 Metabolism	09106 Metabolism of other amino acids	00480 Glutathione metabolism [PATH:syp00480]		
SYNPCC7002_A1252	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00511 Other glycan degradation [PATH:syp00511]		
SYNPCC7002_A2862	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00511 Other glycan degradation [PATH:syp00511]		
SYNPCC7002_A0069	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00540 Lipopolysaccharide biosynthesis [PATH:syp00540]		
SYNPCC7002_A0319	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00540 Lipopolysaccharide biosynthesis [PATH:syp00540]		
SYNPCC7002_A0941	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00540 Lipopolysaccharide biosynthesis [PATH:syp00540]		
SYNPCC7002_A0068	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00540 Lipopolysaccharide biosynthesis [PATH:syp00540]		
SYNPCC7002_A1903	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00540 Lipopolysaccharide biosynthesis [PATH:syp00540]		
SYNPCC7002_A2034	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00540 Lipopolysaccharide biosynthesis [PATH:syp00540]		
SYNPCC7002_A2431	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00542 O-Antigen repeat unit biosynthesis [PATH:syp00542]		
SYNPCC7002_A1715	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:syp00541]		
SYNPCC7002_A2340	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:syp00541]		
SYNPCC7002_A2066	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:syp00541]		
SYNPCC7002_A0008	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:syp00541]		
SYNPCC7002_A1554	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:syp00541]		
SYNPCC7002_A2565	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:syp00541]		
SYNPCC7002_A2832	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:syp00541]		
SYNPCC7002_A2633	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:syp00541]		
SYNPCC7002_A1214	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis [PATH:syp00541]		
SYNPCC7002_A1105	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00550 Peptidoglycan biosynthesis [PATH:syp00550]		
SYNPCC7002_A0104	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00550 Peptidoglycan biosynthesis [PATH:syp00550]		
SYNPCC7002_A0105	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00550 Peptidoglycan biosynthesis [PATH:syp00550]		
SYNPCC7002_A0850	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00550 Peptidoglycan biosynthesis [PATH:syp00550]		
SYNPCC7002_A0121	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00550 Peptidoglycan biosynthesis [PATH:syp00550]		
SYNPCC7002_A1584	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00550 Peptidoglycan biosynthesis [PATH:syp00550]		
SYNPCC7002_A0638	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00550 Peptidoglycan biosynthesis [PATH:syp00550]		
SYNPCC7002_A2693	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00550 Peptidoglycan biosynthesis [PATH:syp00550]		
SYNPCC7002_A0099	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00550 Peptidoglycan biosynthesis [PATH:syp00550]		
SYNPCC7002_A0260	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00550 Peptidoglycan biosynthesis [PATH:syp00550]		
SYNPCC7002_A1607	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00550 Peptidoglycan biosynthesis [PATH:syp00550]		
SYNPCC7002_A2584	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00550 Peptidoglycan biosynthesis [PATH:syp00550]		
SYNPCC7002_A0138	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00550 Peptidoglycan biosynthesis [PATH:syp00550]		
SYNPCC7002_A1926	KEGG Orthology (KO)	09100 Metabolism	09107 Glycan biosynthesis and metabolism	00550 Peptidoglycan biosynthesis [PATH:syp00550]		
