Transcription-Units	Genes of transcription unit
TU220F-1861	SYNPCC7002_RS13415
TU220F-2442	SYNPCC7002_RS04035
TU220F-1120	SYNPCC7002_RS07895
TU220F-822	SYNPCC7002_RS05560
TU220F-1859	SYNPCC7002_RS13405
TU220F-1039	SYNPCC7002_RS07195 // SYNPCC7002_RS07190
TU220F-1144	SYNPCC7002_RS08050
TU220F-2514	SYNPCC7002_RS01395
TU220F-554	SYNPCC7002_RS03525
TU220F-1432	SYNPCC7002_RS10245
TU220F-1652	SYNPCC7002_RS11965 // SYNPCC7002_RS11960
TU220F-1878	SYNPCC7002_RS13535
TU220F-2011	SYNPCC7002_RS15520 // SYNPCC7002_RS15515
TU220F-894	SYNPCC7002_RS06130
TU220F-1197	SYNPCC7002_RS08420
TU220F-492	SYNPCC7002_RS03045
TU220F-1621	SYNPCC7002_RS11720 // SYNPCC7002_RS11715
TU220F-901	SYNPCC7002_RS06185
TU220F-2472	SYNPCC7002_RS02520
TU220F-1547	SYNPCC7002_RS11105
TU220F-688	SYNPCC7002_RS04520 // SYNPCC7002_RS04515
TU220F-952	SYNPCC7002_RS06545
TU220F-527	SYNPCC7002_RS03305 // SYNPCC7002_RS03300
TU220F-1132	SYNPCC7002_RS07975
TU220F-131	SYNPCC7002_RS00350 // SYNPCC7002_RS00345
TU220F-621	SYNPCC7002_RS04050
TU220F-283	SYNPCC7002_RS01465
TU220F-1450	SYNPCC7002_RS10385
TU220F-2142	SYNPCC7002_RS13810
TU220F-772	SYNPCC7002_RS05205 // SYNPCC7002_RS05200
TU220F-2222	SYNPCC7002_RS11255
TU220F-2159	SYNPCC7002_RS13325
TU220F-2324	SYNPCC7002_RS07670
TU220F-944	SYNPCC7002_RS06500
TU220F-1664	SYNPCC7002_RS12050
TU220F-1627	SYNPCC7002_RS11800
TU220F-593	SYNPCC7002_RS03820 // SYNPCC7002_RS03815
TU220F-208	SYNPCC7002_RS00920
TU220F-2520	SYNPCC7002_RS01295
TU220F-257	SYNPCC7002_RS01250
TU220F-1223	SYNPCC7002_RS08635 // SYNPCC7002_RS08630 // SYNPCC7002_RS08625 // SYNPCC7002_RS08620
TU220F-416	SYNPCC7002_RS02565
TU220F-234	SYNPCC7002_RS01110
TU220F-567	SYNPCC7002_RS03615
TU220F-717	SYNPCC7002_RS04750
TU220F-1339	SYNPCC7002_RS09570
TU220F-903	SYNPCC7002_RS06195
TU220F-2093	SYNPCC7002_RS14545
TU220F-10	SYNPCC7002_RS14755
TU220F-754	SYNPCC7002_RS05045
TU220F-1566	SYNPCC7002_RS11265
TU220F-2051	SYNPCC7002_RS15815
TU220F-268	SYNPCC7002_RS01330
TU220F-2237	SYNPCC7002_RS10710
TU220F-2008	SYNPCC7002_RS15490
TU220F-920	SYNPCC7002_RS06330
TU220F-2197	SYNPCC7002_RS16735
TU220F-1998	SYNPCC7002_RS15390 // SYNPCC7002_RS15385
TU220F-541	SYNPCC7002_RS03430 // SYNPCC7002_RS03425
TU220F-2275	SYNPCC7002_RS09440
TU220F-340	SYNPCC7002_RS01920 // SYNPCC7002_RS01915
TU220F-2255	SYNPCC7002_RS10325
TU220F-1103	SYNPCC7002_RS07775 // SYNPCC7002_RS07770
TU220F-2502	SYNPCC7002_RS01730
TU220F-1923	SYNPCC7002_RS13865
TU220F-1524	SYNPCC7002_RS10955
TU220F-2119	SYNPCC7002_RS14650
TU220F-1198	SYNPCC7002_RS08425
TU220F-1349	SYNPCC7002_RS09635
TU220F-33	SYNPCC7002_RS14960
TU220F-132	SYNPCC7002_RS00355
TU220F-1208	SYNPCC7002_RS16145
TU220F-76	SYNPCC7002_RS14430 // SYNPCC7002_RS14425
TU220F-844	SYNPCC7002_RS05700
TU220F-1320	SYNPCC7002_RS09450
TU220F-2550	SYNPCC7002_RS00135
TU220F-1032	SYNPCC7002_RS07135
TU220F-2342	SYNPCC7002_RS07085
TU220F-1937	SYNPCC7002_RS13950 // SYNPCC7002_RS13945
TU220F-2168	SYNPCC7002_RS13025
TU220F-953	SYNPCC7002_RS06550
TU220F-1019	SYNPCC7002_RS07030
TU220F-661	SYNPCC7002_RS04330
TU220F-1947	SYNPCC7002_RS14010
TU220F-971	SYNPCC7002_RS06685
TU220F-1590	SYNPCC7002_RS11455 // SYNPCC7002_RS11450
TU220F-1994	SYNPCC7002_RS15355
TU220F-2405	SYNPCC7002_RS05110
TU220F-108	SYNPCC7002_RS00180
TU220F-469	SYNPCC7002_RS02890
TU220F-1630	SYNPCC7002_RS11815
TU220F-983	SYNPCC7002_RS06765
TU220F-491	SYNPCC7002_RS03040 // SYNPCC7002_RS03035
TU220F-2374	SYNPCC7002_RS06200
TU220F-272	SYNPCC7002_RS01380 // SYNPCC7002_RS01375
TU220F-1736	SYNPCC7002_RS12555
TU220F-1093	SYNPCC7002_RS07635 // SYNPCC7002_RS07630
TU220F-1239	SYNPCC7002_RS08755
TU220F-687	SYNPCC7002_RS04510
TU220F-1254	SYNPCC7002_RS08905 // SYNPCC7002_RS08900
TU220F-826	SYNPCC7002_RS05590 // SYNPCC7002_RS05585
TU220F-1509	SYNPCC7002_RS16720
TU220F-240	SYNPCC7002_RS01150 // SYNPCC7002_RS16360 // SYNPCC7002_RS16355 // SYNPCC7002_RS01145
TU220F-740	SYNPCC7002_RS04950 // SYNPCC7002_RS04945
TU220F-185	SYNPCC7002_RS00745
TU220F-1397	SYNPCC7002_RS09980 // SYNPCC7002_RS09975
TU220F-82	SYNPCC7002_RS16785
TU220F-497	SYNPCC7002_RS03080
TU220F-2510	SYNPCC7002_RS01580
TU220F-1708	SYNPCC7002_RS12330 // SYNPCC7002_RS12325
TU220F-1369	SYNPCC7002_RS09785 // SYNPCC7002_RS09780
TU220F-2355	SYNPCC7002_RS06745
TU220F-1676	SYNPCC7002_RS12120
TU220F-71	SYNPCC7002_RS14360 // SYNPCC7002_RS14355
TU220F-1331	SYNPCC7002_RS09515 // SYNPCC7002_RS09510
TU220F-2398	SYNPCC7002_RS05580
TU220F-359	SYNPCC7002_RS02085 // SYNPCC7002_RS02080
TU220F-103	SYNPCC7002_RS00160
TU220F-312	SYNPCC7002_RS01700
TU220F-1242	SYNPCC7002_RS08775
TU220F-1825	SYNPCC7002_RS13170
TU220F-2303	SYNPCC7002_RS08190
TU220F-837	SYNPCC7002_RS16425 // SYNPCC7002_RS16655
TU220F-298	SYNPCC7002_RS01570
TU220F-763	SYNPCC7002_RS05120
TU220F-1863	SYNPCC7002_RS13435
TU220F-2098	SYNPCC7002_RS14570
TU220F-2483	SYNPCC7002_RS02275
TU220F-1459	SYNPCC7002_RS10445 // SYNPCC7002_RS10440 // SYNPCC7002_RS10435
TU220F-1885	SYNPCC7002_RS13590 // SYNPCC7002_RS13585 // SYNPCC7002_RS13580
TU220F-2287	SYNPCC7002_RS09065
TU220F-1417	SYNPCC7002_RS10140
TU220F-1489	SYNPCC7002_RS10675
TU220F-1772	SYNPCC7002_RS12835
TU220F-1686	SYNPCC7002_RS12190
TU220F-1199	SYNPCC7002_RS08430
TU220F-2144	SYNPCC7002_RS13800
TU220F-2413	SYNPCC7002_RS04905
TU220F-954	SYNPCC7002_RS16670
TU220F-1748	SYNPCC7002_RS12650
TU220F-1830	SYNPCC7002_RS13195
TU220F-424	SYNPCC7002_RS02625
TU220F-1068	SYNPCC7002_RS07445
TU220F-1569	SYNPCC7002_RS11290
TU220F-126	SYNPCC7002_RS00315
TU220F-2203	SYNPCC7002_RS12045
TU220F-1348	SYNPCC7002_RS09630
TU220F-553	SYNPCC7002_RS03520
TU220F-2233	SYNPCC7002_RS10895
TU220F-1651	SYNPCC7002_RS11955
TU220F-927	SYNPCC7002_RS06380 // SYNPCC7002_RS06375
TU220F-1579	SYNPCC7002_RS11365
TU220F-1733	SYNPCC7002_RS12540
TU220F-2447	SYNPCC7002_RS03900
TU220F-1828	SYNPCC7002_RS13185
TU220F-628	SYNPCC7002_RS04085
TU220F-500	SYNPCC7002_RS03105
TU220F-490	SYNPCC7002_RS03030
TU220F-1670	SYNPCC7002_RS12090 // SYNPCC7002_RS12085
TU220F-2345	SYNPCC7002_RS07005
TU220F-223	SYNPCC7002_RS01045
TU220F-1139	SYNPCC7002_RS08025 // SYNPCC7002_RS08020 // SYNPCC7002_RS08015
TU220F-686	SYNPCC7002_RS04505
TU220F-2363	SYNPCC7002_RS06395
TU220F-1439	SYNPCC7002_RS10290
TU220F-1851	SYNPCC7002_RS13365 // SYNPCC7002_RS13360
TU220F-791	SYNPCC7002_RS05360
TU220F-517	SYNPCC7002_RS03230 // SYNPCC7002_RS03225
TU220F-713	SYNPCC7002_RS04720
TU220F-1074	SYNPCC7002_RS07475
TU220F-569	SYNPCC7002_RS03640
TU220F-723	SYNPCC7002_RS16400
TU220F-1159	SYNPCC7002_RS08145
TU220F-1774	SYNPCC7002_RS12845
TU220F-2057	SYNPCC7002_RS15850
TU220F-1624	SYNPCC7002_RS11750
TU220F-2122	SYNPCC7002_RS16330
TU220F-1298	SYNPCC7002_RS09235
TU220F-709	SYNPCC7002_RS04695 // SYNPCC7002_RS04690 // SYNPCC7002_RS04685
TU220F-2	SYNPCC7002_RS14685 // SYNPCC7002_RS14680
TU220F-1785	SYNPCC7002_RS12910
TU220F-1289	SYNPCC7002_RS09175
TU220F-447	SYNPCC7002_RS02770
TU220F-2464	SYNPCC7002_RS02895
TU220F-1531	SYNPCC7002_RS10995
TU220F-1000	SYNPCC7002_RS06890
TU220F-1713	SYNPCC7002_RS12370
TU220F-1978	SYNPCC7002_RS15230 // SYNPCC7002_RS15225
TU220F-804	SYNPCC7002_RS05455 // SYNPCC7002_RS05450
TU220F-1449	SYNPCC7002_RS10380
TU220F-829	SYNPCC7002_RS05610
TU220F-599	SYNPCC7002_RS16640
TU220F-1262	SYNPCC7002_RS08965
TU220F-1606	SYNPCC7002_RS11585 // SYNPCC7002_RS11580
TU220F-1244	SYNPCC7002_RS08800
TU220F-779	SYNPCC7002_RS05260 // SYNPCC7002_RS05255
TU220F-2078	SYNPCC7002_RS16005 // SYNPCC7002_RS16000
TU220F-2160	SYNPCC7002_RS13310
TU220F-2421	SYNPCC7002_RS04810
TU220F-1782	SYNPCC7002_RS12890
TU220F-457	SYNPCC7002_RS02825
TU220F-2012	SYNPCC7002_RS15530 // SYNPCC7002_RS15525
TU220F-50	SYNPCC7002_RS16830
TU220F-1467	SYNPCC7002_RS16180
TU220F-753	SYNPCC7002_RS05040 // SYNPCC7002_RS05035
TU220F-2260	SYNPCC7002_RS16170
TU220F-187	SYNPCC7002_RS00755
TU220F-996	SYNPCC7002_RS06860
TU220F-2458	SYNPCC7002_RS03355
TU220F-2501	SYNPCC7002_RS01775
TU220F-433	SYNPCC7002_RS02685
TU220F-2274	SYNPCC7002_RS16700
TU220F-2392	SYNPCC7002_RS05760
TU220F-1109	SYNPCC7002_RS07835 // SYNPCC7002_RS07830 // SYNPCC7002_RS07825
TU220F-2541	SYNPCC7002_RS00480
TU220F-1770	SYNPCC7002_RS12825
TU220F-1936	SYNPCC7002_RS13940
TU220F-1034	SYNPCC7002_RS07160
TU220F-1821	SYNPCC7002_RS13155
TU220F-851	SYNPCC7002_RS05750 // SYNPCC7002_RS05745
TU220F-846	SYNPCC7002_RS05715
TU220F-144	SYNPCC7002_RS00420
TU220F-1347	SYNPCC7002_RS09625
TU220F-453	SYNPCC7002_RS02800
TU220F-579	SYNPCC7002_RS03720
TU220F-1170	SYNPCC7002_RS08255 // SYNPCC7002_RS08250
TU220F-1270	SYNPCC7002_RS09015
TU220F-2549	SYNPCC7002_RS00150
TU220F-1587	SYNPCC7002_RS11415
TU220F-384	SYNPCC7002_RS02310
TU220F-696	SYNPCC7002_RS04575
TU220F-2182	SYNPCC7002_RS12565
TU220F-1319	SYNPCC7002_RS09435
TU220F-2534	SYNPCC7002_RS00660
TU220F-982	SYNPCC7002_RS06760
TU220F-227	SYNPCC7002_RS01075
TU220F-489	SYNPCC7002_RS03020
TU220F-2388	SYNPCC7002_RS05900
TU220F-107	SYNPCC7002_RS00175
TU220F-2371	SYNPCC7002_RS06285
TU220F-1425	SYNPCC7002_RS10190
TU220F-397	SYNPCC7002_RS02395
TU220F-693	SYNPCC7002_RS04555
TU220F-244	SYNPCC7002_RS01170
TU220F-324	SYNPCC7002_RS01815 // SYNPCC7002_RS01810
TU220F-429	SYNPCC7002_RS02665 // SYNPCC7002_RS02660
TU220F-685	SYNPCC7002_RS04495
TU220F-1368	SYNPCC7002_RS09765
TU220F-1284	SYNPCC7002_RS09145
TU220F-575	SYNPCC7002_RS03700 // SYNPCC7002_RS03695
TU220F-1823	SYNPCC7002_RS13165
TU220F-2115	SYNPCC7002_RS14270 // SYNPCC7002_RS14265
TU220F-382	SYNPCC7002_RS02290
TU220F-400	SYNPCC7002_RS02425
TU220F-273	SYNPCC7002_RS01390 // SYNPCC7002_RS01385
TU220F-1776	SYNPCC7002_RS12855
TU220F-1832	SYNPCC7002_RS13205
TU220F-1780	SYNPCC7002_RS12880
TU220F-376	SYNPCC7002_RS02245
TU220F-2070	SYNPCC7002_RS15935 // SYNPCC7002_RS15930 // SYNPCC7002_RS15925
TU220F-1694	SYNPCC7002_RS12240 // SYNPCC7002_RS12235
TU220F-2306	SYNPCC7002_RS08170
TU220F-1293	SYNPCC7002_RS09205
TU220F-2295	SYNPCC7002_RS08570
TU220F-1515	SYNPCC7002_RS10880
TU220F-1809	SYNPCC7002_RS13070
TU220F-1867	SYNPCC7002_RS13460
TU220F-92	SYNPCC7002_RS00080 // SYNPCC7002_RS00075
TU220F-2399	SYNPCC7002_RS05545
TU220F-1806	SYNPCC7002_RS13040
TU220F-462	SYNPCC7002_RS02855
TU220F-1200	SYNPCC7002_RS08435
TU220F-1218	SYNPCC7002_RS08580
TU220F-118	SYNPCC7002_RS00250
TU220F-1147	SYNPCC7002_RS08065
TU220F-2207	SYNPCC7002_RS11745
TU220F-2095	SYNPCC7002_RS14555
TU220F-1857	SYNPCC7002_RS13395
TU220F-1067	SYNPCC7002_RS07440
TU220F-2249	SYNPCC7002_RS10505
TU220F-86	SYNPCC7002_RS00015
TU220F-896	SYNPCC7002_RS06140
TU220F-1346	SYNPCC7002_RS09620
TU220F-1984	SYNPCC7002_RS15260
TU220F-1501	SYNPCC7002_RS10785 // SYNPCC7002_RS10780
TU220F-1537	SYNPCC7002_RS11025
TU220F-1891	SYNPCC7002_RS13630
TU220F-1488	SYNPCC7002_RS10660
TU220F-1822	SYNPCC7002_RS13160
TU220F-2043	SYNPCC7002_RS15725
TU220F-864	SYNPCC7002_RS05880
TU220F-2062	SYNPCC7002_RS15875
TU220F-2524	SYNPCC7002_RS00905
TU220F-2441	SYNPCC7002_RS04040
TU220F-271	SYNPCC7002_RS01370 // SYNPCC7002_RS01365
TU220F-1760	SYNPCC7002_RS12730
TU220F-488	SYNPCC7002_RS03015
TU220F-790	SYNPCC7002_RS05355 // SYNPCC7002_RS05350 // SYNPCC7002_RS05345
TU220F-684	SYNPCC7002_RS04490 // SYNPCC7002_RS04485
TU220F-552	SYNPCC7002_RS03510 // SYNPCC7002_RS03505
TU220F-526	SYNPCC7002_RS03295
TU220F-1650	SYNPCC7002_RS11950
TU220F-1553	SYNPCC7002_RS11155 // SYNPCC7002_RS11150 // SYNPCC7002_RS11145
TU220F-939	SYNPCC7002_RS06475 // SYNPCC7002_RS06470
TU220F-2349	SYNPCC7002_RS06935
TU220F-1960	SYNPCC7002_RS14085
TU220F-1718	SYNPCC7002_RS16205
TU220F-1546	SYNPCC7002_RS11100 // SYNPCC7002_RS11095
TU220F-1004	SYNPCC7002_RS06915
TU220F-2471	SYNPCC7002_RS02535
TU220F-293	SYNPCC7002_RS01535
TU220F-814	SYNPCC7002_RS05515
TU220F-2123	SYNPCC7002_RS15810
TU220F-2126	SYNPCC7002_RS15730
TU220F-2323	SYNPCC7002_RS07675
TU220F-1212	SYNPCC7002_RS08535
TU220F-1975	SYNPCC7002_RS14180
TU220F-1448	SYNPCC7002_RS10375
TU220F-218	SYNPCC7002_RS00990 // SYNPCC7002_RS00985 // SYNPCC7002_RS00980 // SYNPCC7002_RS00975 // SYNPCC7002_RS00970
TU220F-1908	SYNPCC7002_RS13760
TU220F-154	SYNPCC7002_RS00515
TU220F-2482	SYNPCC7002_RS02295
TU220F-1662	SYNPCC7002_RS12035 // SYNPCC7002_RS12030
TU220F-2187	SYNPCC7002_RS12465
TU220F-1155	SYNPCC7002_RS08115
TU220F-2329	SYNPCC7002_RS07490
TU220F-1246	SYNPCC7002_RS08810
TU220F-1236	SYNPCC7002_RS08730
TU220F-1036	SYNPCC7002_RS07175
TU220F-2429	SYNPCC7002_RS04530
TU220F-833	SYNPCC7002_RS05640
TU220F-1038	SYNPCC7002_RS07185
TU220F-583	SYNPCC7002_RS03760
TU220F-1084	SYNPCC7002_RS07540
TU220F-1338	SYNPCC7002_RS09565
TU220F-1475	SYNPCC7002_RS10575 // SYNPCC7002_RS10570
TU220F-1980	SYNPCC7002_RS15240
TU220F-1904	SYNPCC7002_RS13730
TU220F-2519	SYNPCC7002_RS01300
TU220F-561	SYNPCC7002_RS03580
TU220F-233	SYNPCC7002_RS01105
TU220F-211	SYNPCC7002_RS00935
TU220F-73	SYNPCC7002_RS14390 // SYNPCC7002_RS14385
TU220F-409	SYNPCC7002_RS02495
TU220F-633	SYNPCC7002_RS04120 // SYNPCC7002_RS04115
TU220F-2310	SYNPCC7002_RS08130
TU220F-1820	SYNPCC7002_RS13150
TU220F-1663	SYNPCC7002_RS12040
TU220F-2516	SYNPCC7002_RS01340
TU220F-2254	SYNPCC7002_RS10330
TU220F-752	SYNPCC7002_RS16415
TU220F-2050	SYNPCC7002_RS15805 // SYNPCC7002_RS15800
TU220F-1306	SYNPCC7002_RS09325 // SYNPCC7002_RS09320
TU220F-1589	SYNPCC7002_RS11425
TU220F-1771	SYNPCC7002_RS16210
TU220F-1275	SYNPCC7002_RS09045
TU220F-1935	SYNPCC7002_RS13935
TU220F-2196	SYNPCC7002_RS12305
TU220F-1123	SYNPCC7002_RS07910
TU220F-1171	SYNPCC7002_RS16140
TU220F-1080	SYNPCC7002_RS07520
TU220F-386	SYNPCC7002_RS02325
TU220F-2273	SYNPCC7002_RS09535
TU220F-438	SYNPCC7002_RS02710
TU220F-2373	SYNPCC7002_RS06250
TU220F-2003	SYNPCC7002_RS15455 // SYNPCC7002_RS15450
TU220F-238	SYNPCC7002_RS01135
TU220F-1367	SYNPCC7002_RS09760
TU220F-1431	SYNPCC7002_RS10240
TU220F-981	SYNPCC7002_RS06755
TU220F-2060	SYNPCC7002_RS15865
TU220F-1234	SYNPCC7002_RS08720
TU220F-487	SYNPCC7002_RS03010
TU220F-1318	SYNPCC7002_RS09430 // SYNPCC7002_RS09425 // SYNPCC7002_RS09420
TU220F-2404	SYNPCC7002_RS05160
TU220F-551	SYNPCC7002_RS03500 // SYNPCC7002_RS03495
TU220F-2490	SYNPCC7002_RS02190
TU220F-1226	SYNPCC7002_RS08670
TU220F-1286	SYNPCC7002_RS09155
TU220F-177	SYNPCC7002_RS00695
TU220F-683	SYNPCC7002_RS04480
TU220F-294	SYNPCC7002_RS01545
TU220F-1988	SYNPCC7002_RS15300 // SYNPCC7002_RS15295 // SYNPCC7002_RS15290 // SYNPCC7002_RS15285
TU220F-904	SYNPCC7002_RS06215 // SYNPCC7002_RS06210 // SYNPCC7002_RS06205
TU220F-607	SYNPCC7002_RS03950
TU220F-609	SYNPCC7002_RS03960
TU220F-1345	SYNPCC7002_RS09615
TU220F-404	SYNPCC7002_RS02455
TU220F-2354	SYNPCC7002_RS06775
TU220F-1396	SYNPCC7002_RS09965 // SYNPCC7002_RS09960 // SYNPCC7002_RS09955
TU220F-1707	SYNPCC7002_RS12320
TU220F-1895	SYNPCC7002_RS13660
TU220F-1277	SYNPCC7002_RS09085 // SYNPCC7002_RS09080 // SYNPCC7002_RS09075 // SYNPCC7002_RS09070
TU220F-2083	SYNPCC7002_RS14675
TU220F-2163	SYNPCC7002_RS13115
TU220F-1458	SYNPCC7002_RS10430
TU220F-1804	SYNPCC7002_RS13030
TU220F-1943	SYNPCC7002_RS13990 // SYNPCC7002_RS13985
TU220F-1685	SYNPCC7002_RS12185
TU220F-836	SYNPCC7002_RS05660
TU220F-647	SYNPCC7002_RS04240
TU220F-504	SYNPCC7002_RS03130
TU220F-2412	SYNPCC7002_RS05000
TU220F-1214	SYNPCC7002_RS08545
TU220F-161	SYNPCC7002_RS00560
TU220F-1258	SYNPCC7002_RS08940 // SYNPCC7002_RS08935
TU220F-5	SYNPCC7002_RS14725 // SYNPCC7002_RS14720
TU220F-959	SYNPCC7002_RS06590 // SYNPCC7002_RS06585
TU220F-1735	SYNPCC7002_RS12550
TU220F-2130	SYNPCC7002_RS15405
TU220F-445	SYNPCC7002_RS02755 // SYNPCC7002_RS02750 // SYNPCC7002_RS02745
TU220F-1228	SYNPCC7002_RS08680
TU220F-1956	SYNPCC7002_RS14065
TU220F-986	SYNPCC7002_RS06785
TU220F-1066	SYNPCC7002_RS07430 // SYNPCC7002_RS07425 // SYNPCC7002_RS07420
TU220F-166	SYNPCC7002_RS00605
TU220F-1732	SYNPCC7002_RS12535 // SYNPCC7002_RS12530
TU220F-1912	SYNPCC7002_RS13785
TU220F-2500	SYNPCC7002_RS01780
TU220F-106	SYNPCC7002_RS00170
TU220F-1884	SYNPCC7002_RS13575
TU220F-1487	SYNPCC7002_RS10655
TU220F-2540	SYNPCC7002_RS00530
TU220F-2453	SYNPCC7002_RS03545
TU220F-1416	SYNPCC7002_RS10135
TU220F-700	SYNPCC7002_RS04605
TU220F-1052	SYNPCC7002_RS07340
TU220F-866	SYNPCC7002_RS05890
TU220F-1578	SYNPCC7002_RS11360
TU220F-2085	SYNPCC7002_RS14500 // SYNPCC7002_RS14495
TU220F-1157	SYNPCC7002_RS08125
TU220F-1635	SYNPCC7002_RS11845
TU220F-53	SYNPCC7002_RS15115 // SYNPCC7002_RS15110
TU220F-1614	SYNPCC7002_RS11640
TU220F-2362	SYNPCC7002_RS06400
TU220F-74	SYNPCC7002_RS14415 // SYNPCC7002_RS14410 // SYNPCC7002_RS14405 // SYNPCC7002_RS14400 // SYNPCC7002_RS14395
TU220F-531	SYNPCC7002_RS03345 // SYNPCC7002_RS03340 // SYNPCC7002_RS03335
TU220F-1530	SYNPCC7002_RS10990
TU220F-2046	SYNPCC7002_RS15745
TU220F-1649	SYNPCC7002_RS11945
TU220F-1008	SYNPCC7002_RS06960
TU220F-1762	SYNPCC7002_RS12750 // SYNPCC7002_RS12745
TU220F-354	SYNPCC7002_RS02045
TU220F-682	SYNPCC7002_RS04475
TU220F-2000	SYNPCC7002_RS15420 // SYNPCC7002_RS16270
TU220F-637	SYNPCC7002_RS04150
TU220F-295	SYNPCC7002_RS01550
TU220F-1438	SYNPCC7002_RS10285 // SYNPCC7002_RS10280
TU220F-803	SYNPCC7002_RS05445
TU220F-762	SYNPCC7002_RS05115
TU220F-2286	SYNPCC7002_RS09090
TU220F-1840	SYNPCC7002_RS13265
TU220F-193	SYNPCC7002_RS00790
TU220F-1297	SYNPCC7002_RS09230
TU220F-712	SYNPCC7002_RS04715
TU220F-264	SYNPCC7002_RS01310
TU220F-1877	SYNPCC7002_RS13530
TU220F-2230	SYNPCC7002_RS10940
TU220F-722	SYNPCC7002_RS04785
TU220F-521	SYNPCC7002_RS03255
TU220F-516	SYNPCC7002_RS16625
TU220F-2259	SYNPCC7002_RS10020
TU220F-1818	SYNPCC7002_RS13135
TU220F-2481	SYNPCC7002_RS02300
TU220F-929	SYNPCC7002_RS06415
TU220F-1408	SYNPCC7002_RS10085
TU220F-598	SYNPCC7002_RS16635 // SYNPCC7002_RS03870
TU220F-1447	SYNPCC7002_RS10365 // SYNPCC7002_RS10360
TU220F-1115	SYNPCC7002_RS07865
TU220F-778	SYNPCC7002_RS05250 // SYNPCC7002_RS05245 // SYNPCC7002_RS05240 // SYNPCC7002_RS05235 // SYNPCC7002_RS05230
TU220F-378	SYNPCC7002_RS02255
TU220F-2420	SYNPCC7002_RS04815
TU220F-1378	SYNPCC7002_RS09835
TU220F-486	SYNPCC7002_RS03000
TU220F-252	SYNPCC7002_RS01220
TU220F-885	SYNPCC7002_RS06060
TU220F-708	SYNPCC7002_RS04680
TU220F-2091	SYNPCC7002_RS14530
TU220F-2528	SYNPCC7002_RS00840
TU220F-1404	SYNPCC7002_RS10050
TU220F-1971	SYNPCC7002_RS14160
TU220F-592	SYNPCC7002_RS03810
TU220F-1466	SYNPCC7002_RS10500 // SYNPCC7002_RS16175
TU220F-363	SYNPCC7002_RS02115
TU220F-1230	SYNPCC7002_RS08695
TU220F-1265	SYNPCC7002_RS08985
TU220F-282	SYNPCC7002_RS01460
TU220F-1127	SYNPCC7002_RS07935
TU220F-751	SYNPCC7002_RS05030
TU220F-1609	SYNPCC7002_RS11615
TU220F-449	SYNPCC7002_RS02780
TU220F-915	SYNPCC7002_RS06290
TU220F-284	SYNPCC7002_RS16370 // SYNPCC7002_RS01470
TU220F-2150	SYNPCC7002_RS13610
TU220F-2272	SYNPCC7002_RS09685
TU220F-1934	SYNPCC7002_RS13930
TU220F-2548	SYNPCC7002_RS00220
TU220F-1108	SYNPCC7002_RS07820 // SYNPCC7002_RS07815
TU220F-1586	SYNPCC7002_RS11410 // SYNPCC7002_RS11405
TU220F-966	SYNPCC7002_RS06645 // SYNPCC7002_RS06640
TU220F-1411	SYNPCC7002_RS10110 // SYNPCC7002_RS10105
TU220F-361	SYNPCC7002_RS02105 // SYNPCC7002_RS02100
TU220F-850	SYNPCC7002_RS05740
TU220F-15	SYNPCC7002_RS14800 // SYNPCC7002_RS14795 // SYNPCC7002_RS14790 // SYNPCC7002_RS14785
TU220F-197	SYNPCC7002_RS00815 // SYNPCC7002_RS00810
TU220F-1259	SYNPCC7002_RS08950 // SYNPCC7002_RS08945
TU220F-1922	SYNPCC7002_RS13860
TU220F-925	SYNPCC7002_RS06365
TU220F-1796	SYNPCC7002_RS12965
TU220F-1018	SYNPCC7002_RS07025 // SYNPCC7002_RS07020
TU220F-1744	SYNPCC7002_RS12625 // SYNPCC7002_RS12620
TU220F-540	SYNPCC7002_RS03415
TU220F-1317	SYNPCC7002_RS09415 // SYNPCC7002_RS09410
TU220F-7	SYNPCC7002_RS16910 // SYNPCC7002_RS14735 // SYNPCC7002_RS14730
TU220F-2370	SYNPCC7002_RS06310
TU220F-1424	SYNPCC7002_RS10185
TU220F-139	SYNPCC7002_RS16340
TU220F-1102	SYNPCC7002_RS07760 // SYNPCC7002_RS07755
TU220F-2109	SYNPCC7002_RS14225
TU220F-2394	SYNPCC7002_RS05705
TU220F-550	SYNPCC7002_RS03490
TU220F-2387	SYNPCC7002_RS05905
TU220F-170	SYNPCC7002_RS00635 // SYNPCC7002_RS00630 // SYNPCC7002_RS00625
TU220F-980	SYNPCC7002_RS06750
TU220F-1366	SYNPCC7002_RS09755
TU220F-393	SYNPCC7002_RS02375
TU220F-2243	SYNPCC7002_RS10665
TU220F-660	SYNPCC7002_RS04320
TU220F-19	SYNPCC7002_RS14830
TU220F-1611	SYNPCC7002_RS11625
TU220F-141	SYNPCC7002_RS00395
TU220F-889	SYNPCC7002_RS06090
TU220F-406	SYNPCC7002_RS02475
TU220F-905	SYNPCC7002_RS06220
TU220F-1999	SYNPCC7002_RS15400 // SYNPCC7002_RS15395
TU220F-681	SYNPCC7002_RS04470
TU220F-1561	SYNPCC7002_RS11220 // SYNPCC7002_RS11215
TU220F-1966	SYNPCC7002_RS14135 // SYNPCC7002_RS14130
TU220F-2177	SYNPCC7002_RS12715
TU220F-789	SYNPCC7002_RS05340
TU220F-1693	SYNPCC7002_RS12230
